TK,ΠΕΡΙΟΧΗ,ΧΩΡΑ,ΠΟΛΗ,ΝΟΜΟΣ
18545,ΑΓΙΟΣ ΔΙΟΝΥΣΙΟΣ,ΕΛΛΑΣ,ΠΕΙΡΑΙΑΣ,ΑΤΤΙΚΗ
81500,ΑΓΙΟΣ ΕΥΣΤΡΑΤΙΟΣ,ΕΛΛΑΣ,ΑΓΙΟΣ ΕΥΣΤΡΑΤΙΟΣ,ΛΕΣΒΟΣ
11255,ΑΓΙΟΣ ΛΟΥΚΑΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
18537,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΕΛΛΑΣ,ΠΕΙΡΑΙΑΣ,ΑΤΤΙΚΗ
11251,ΑΓΙΟΣ ΠΑΝΤΕΛΕΗΜΩΝ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
55438,ΑΓΙΟΣ ΠΑΥΛΟΣ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
14565,ΑΓΙΟΣ ΣΤΕΦΑΝΟΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
12141,ΑΙΓΑΛΕΩ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
12241,ΑΙΓΑΛΕΩ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
12242,ΑΙΓΑΛΕΩ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
12243,ΑΙΓΑΛΕΩ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
12244,ΑΙΓΑΛΕΩ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
18010,ΑΙΓΙΝΑ,ΕΛΛΑΣ,ΑΙΓΙΝΑ,ΑΤΤΙΚΗ
30021,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΑΓΙΟΣ ΒΛΑΣΙΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30027,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30100,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΑΓΡΙΝΙΟ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30400,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΑΙΤΩΛΙΚΟ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30018,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΑΜΟΡΓΙΑΝΟΙ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30500,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΑΜΦΙΛΟΧΙΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30020,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΑΝΤΙΡΡΙΟ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30023,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΑΝΩ ΧΩΡΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30006,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΑΣΤΑΚΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30002,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΒΟΝΙΤΣΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30015,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΓΑΒΑΛΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30017,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΕΜΠΕΣΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30014,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΕΥΗΝΟΧΩΡΙ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30214,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΕΥΗΝΟΧΩΡΙ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30008,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΘΕΡΜΟ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30005,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΚΑΙΝΟΥΡΓΙΟ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30004,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΚΑΤΟΥΝΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30007,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΚΑΤΟΧΗ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30025,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΚΛΕΠΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30011,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΜΑΤΑΡΑΓΚΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30016,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΜΕΝΙΔΙ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30200,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΜΕΣΟΛΟΓΓΙ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30013,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΜΟΝΑΣΤΗΡΑΚΙ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30019,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΜΥΤΙΚΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30300,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΝΑΥΠΑΚΤΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30001,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΝΕΟΧΩΡΙ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30012,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΠΑΛΑΙΡΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30003,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΠΑΝΑΙΤΩΛΙΟ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30010,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΠΑΡΑΒΟΛΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30022,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΠΛΑΤΑΝΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30026,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΣΙΜΟΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30024,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΤΕΡΨΙΘΕΑ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
30009,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΕΛΛΑΣ,ΦΥΤΕΙΕΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑ
17455,ΑΛΙΜΟΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
17456,ΑΛΙΜΟΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
17655,ΑΛΙΜΟΣ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
37005,ΑΛΟΝΝΗΣΟΣ,ΕΛΛΑΣ,ΑΛΟΝΝΗΣΟΣ,ΜΑΓΝΗΣΙΑ
84008,ΑΜΟΡΓΟΣ,ΕΛΛΑΣ,ΑΙΓΙΑΛΗ,ΚΥΚΛΑΔΕΣ
84008,ΑΜΟΡΓΟΣ,ΕΛΛΑΣ,ΑΜΟΡΓΟΣ,ΚΥΚΛΑΔΕΣ
84008,ΑΜΟΡΓΟΣ,ΕΛΛΑΣ,ΑΡΚΕΣΙΝΗ,ΚΥΚΛΑΔΕΣ
84008,ΑΜΟΡΓΟΣ,ΕΛΛΑΣ,ΒΡΟΥΤΣΗΣ,ΚΥΚΛΑΔΕΣ
84008,ΑΜΟΡΓΟΣ,ΕΛΛΑΣ,ΓΡΑΜΒΟΥΣΑ,ΚΥΚΛΑΔΕΣ
84008,ΑΜΟΡΓΟΣ,ΕΛΛΑΣ,ΘΟΛΑΡΙΑ,ΚΥΚΛΑΔΕΣ
84008,ΑΜΟΡΓΟΣ,ΕΛΛΑΣ,ΚΑΤΑΠΟΛΑ,ΚΥΚΛΑΔΕΣ
84008,ΑΜΟΡΓΟΣ,ΕΛΛΑΣ,ΚΙΝΑΡΟΣ,ΚΥΚΛΑΔΕΣ
11521,ΑΜΠΕΛΟΚΗΠΟΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
11522,ΑΜΠΕΛΟΚΗΠΟΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
11523,ΑΜΠΕΛΟΚΗΠΟΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
11525,ΑΜΠΕΛΟΚΗΠΟΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
11526,ΑΜΠΕΛΟΚΗΠΟΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
11527,ΑΜΠΕΛΟΚΗΠΟΙ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
56121,ΑΜΠΕΛΟΚΗΠΟΙ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
56122,ΑΜΠΕΛΟΚΗΠΟΙ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
56123,ΑΜΠΕΛΟΚΗΠΟΙ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
19013,ΑΝΑΒΥΣΣΟΣ,ΕΛΛΑΣ,ΑΝΑΒΥΣΣΟΣ,ΑΤΤΙΚΗ
84009,ΑΝΑΦΗ,ΕΛΛΑΣ,ΑΝΑΦΗ,ΚΥΚΛΑΔΕΣ
84500,ΑΝΔΡΟΣ,ΕΛΛΑΣ,ΑΝΔΡΟΣ,ΚΥΚΛΑΔΕΣ
84501,ΑΝΔΡΟΣ,ΕΛΛΑΣ,ΓΑΥΡΙΟ,ΚΥΚΛΑΔΕΣ
84502,ΑΝΔΡΟΣ,ΕΛΛΑΣ,ΚΟΡΘΙΟ,ΚΥΚΛΑΔΕΣ
14568,ΑΝΟΙΞΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
84007,ΑΝΤΙΠΑΡΟΣ,ΕΛΛΑΣ,ΑΝΤΙΠΑΡΟΣ,ΚΥΚΛΑΔΕΣ
13341,ΑΝΩ ΛΙΟΣΙΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
13342,ΑΝΩ ΛΙΟΣΙΑ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
54351,ΑΝΩ ΤΟΥΜΠΑ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
54352,ΑΝΩ ΤΟΥΜΠΑ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
21055,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΑΓΙΑ ΤΡΙΑΔΑ ΑΡΓΟΛΙΔ.,ΑΡΓΟΛΙΔΑ
21200,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑ
21057,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΑΧΛΑΔΟΚΑΜΠΟΣ,ΑΡΓΟΛΙΔΑ
21060,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΔΡΕΠΑΝΟ,ΑΡΓΟΛΙΔΑ
21051,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΕΡΜΙΟΝΗ,ΑΡΓΟΛΙΔΑ
21300,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΚΟΙΛΑΔΑ,ΑΡΓΟΛΙΔΑ
21300,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΚΡΑΝΙΔΙ,ΑΡΓΟΛΙΔΑ
21052,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΛΥΓΟΥΡΙΟ,ΑΡΓΟΛΙΔΑ
21058,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΛΥΡΚΕΙΑ,ΑΡΓΟΛΙΔΑ
21100,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΝΑΥΠΛΙΟ,ΑΡΓΟΛΙΔΑ
21200,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΝΑΥΠΛΙΟ,ΑΡΓΟΛΙΔΑ
21054,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΝΕΑ ΕΠΙΔΑΥΡΟΣ,ΑΡΓΟΛΙΔΑ
21053,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΝΕΑ ΚΙΟΣ,ΑΡΓΟΛΙΔΑ
20500,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΝΕΜΕΑ,ΑΡΓΟΛΙΔΑ
21059,ΑΡΓΟΛΙΔΑΣ,ΕΛΛΑΣ,ΠΑΛΑΙΑ ΕΠΙΔΑΥΡΟΣ,ΑΡΓΟΛΙΔΑ
16450,ΑΡΓΥΡΟΥΠΟΛΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16451,ΑΡΓΥΡΟΥΠΟΛΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
16452,ΑΡΓΥΡΟΥΠΟΛΗ,ΕΛΛΑΣ,ΑΘΗΝΑ,ΑΤΤΙΚΗ
22006,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΑΓΙΟΣ ΑΝΔΡΕΑΣ,ΑΡΚΑΔΙΑ
22009,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΑΓΙΟΣ ΠΕΤΡΟΣ,ΑΡΚΑΔΙΑ
22001,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΑΣΤΡΟΣ,ΑΡΚΑΔΙΑ
22014,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΒΑΛΤΕΣΙΝΙΚΟ,ΑΡΚΑΔΙΑ
22016,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΒΛΑΧΟΚΕΡΑΣΙΑ,ΑΡΚΑΔΙΑ
22010,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΒΥΤΙΝΑ,ΑΡΚΑΔΙΑ
22017,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΔΑΡΑΣ,ΑΡΚΑΔΙΑ
22007,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΔΗΜΗΤΣΑΝΑ,ΑΡΚΑΔΙΑ
22018,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΕΛΑΙΟΧΩΡΙ,ΑΡΚΑΔΙΑ
22025,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΙΣΑΡΗΣ,ΑΡΚΑΔΙΑ
22004,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΚΑΝΔΗΛΑ,ΑΡΚΑΔΙΑ
22022,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΚΑΡΙΤΑΙΝΑ,ΑΡΚΑΔΙΑ
22013,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΚΑΣΤΡΙ,ΑΡΚΑΔΙΑ
22027,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΚΑΤΩ ΑΣΕΑ,ΑΡΚΑΔΙΑ
22011,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΚΟΛΛΙΝΕΣ,ΑΡΚΑΔΙΑ
22015,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΚΟΝΤΟΒΑΖΑΙΝΑ,ΑΡΚΑΔΙΑ
22020,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΚΟΣΜΑΣ,ΑΡΚΑΔΙΑ
22003,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΛΑΓΚΑΔΙΑ,ΑΡΚΑΔΙΑ
22002,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΛΕΒΙΔΙ,ΑΡΚΑΔΙΑ
22021,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΛΕΟΝΤΑΡΙ,ΑΡΚΑΔΙΑ
22300,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΛΕΩΝΙΔΙΟ,ΑΡΚΑΔΙΑ
22026,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΜΑΓΟΥΛΙΑΝΑ,ΑΡΚΑΔΙΑ
22200,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΜΕΓΑΛΟΠΟΛΗ,ΑΡΚΑΔΙΑ
22005,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΝΕΣΤΑΝΗ,ΑΡΚΑΔΙΑ
22028,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΠΑΛΟΥΜΠΑ,ΑΡΚΑΔΙΑ
22019,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΠΑΡΑΛΙΟ ΑΣΤΡΟΣ,ΑΡΚΑΔΙΑ
22012,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΣΤΑΔΙΟ,ΑΡΚΑΔΙΑ
22024,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΣΤΕΜΝΙΤΣΑ,ΑΡΚΑΔΙΑ
22100,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑ
22008,ΑΡΚΑΔΙΑΣ,ΕΛΛΑΣ,ΤΡΟΠΑΙΑ,ΑΡΚΑΔΙΑ
47043,ΑΡΤΑΣ,ΕΛΛΑΣ,ΑΓΝΑΝΤΑ,ΑΡΤΑ
47044,ΑΡΤΑΣ,ΕΛΛΑΣ,ΑΝΩ ΚΑΛΕΝΤΙΝΗ,ΑΡΤΑ
47100,ΑΡΤΑΣ,ΕΛΛΑΣ,ΑΡΤΑ,ΑΡΤΑ
47045,ΑΡΤΑΣ,ΕΛΛΑΣ,ΒΟΥΡΓΑΡΕΛΙ,ΑΡΤΑ
47048,ΑΡΤΑΣ,ΕΛΛΑΣ,ΔΗΜΑΡΙ,ΑΡΤΑ
47040,ΑΡΤΑΣ,ΕΛΛΑΣ,ΚΟΜΠΟΤΙ,ΑΡΤΑ
47047,ΑΡΤΑΣ,ΕΛΛΑΣ,ΜΗΛΙΑΝΑ,ΑΡΤΑ
47041,ΑΡΤΑΣ,ΕΛΛΑΣ,ΝΕΟΧΩΡΙ ΑΡΤΑΣ,ΑΡΤΑ
47200,ΑΡΤΑΣ,ΕΛΛΑΣ,ΠΕΤΑ,ΑΡΤΑ
47046,ΑΡΤΑΣ,ΕΛΛΑΣ,ΡΟΔΑΥΓΗ,ΑΡΤΑ
47042,ΑΡΤΑΣ,ΕΛΛΑΣ,ΦΙΛΟΘΕΗ,ΑΡΤΑ
19016,ΑΡΤΕΜΙΣ,ΕΛΛΑΣ,ΑΡΤΕΜΙΣ,ΑΤΤΙΚΗ
57010,ΑΣΒΕΣΤΟΧΩΡΙ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
57016,ΑΣΚΟΣ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
57021,ΑΣΠΡΟΒΑΛΤΑ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
54500,ΑΣΠΡΟΒΡΥΣΗ,ΕΛΛΑΣ,ΘΕΣΣΑΛΟΝΙΚΗ,ΘΕΣΣΑΛΟΝΙΚΗ
19300,ΑΣΠΡΟΠΥΡΓΟΣ,ΕΛΛΑΣ,ΑΣΠΡΟΠΥΡΓΟΣ,ΑΤΤΙΚΗ
85900,ΑΣΤΥΠΑΛΑΙΑ,ΕΛΛΑΣ,ΑΣΤΥΠΑΛΑΙΑ,ΔΩΔΕΚΑΝΗΣΑ
19011,ΑΥΛΩΝΑ,ΕΛΛΑΣ,ΑΥΛΩΝΑ,ΑΤΤΙΚΗ
25010,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΑΙΓΕΙΡΑ,ΑΧΑΪΑ
25100,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΑΙΓΙΟ,ΑΧΑΪΑ
25006,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΑΚΡΑΤΑ,ΑΧΑΪΑ
25016,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΑΡΟΑΝΙΑ,ΑΧΑΪΑ
25002,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΒΡΑΧΝΑΙΙΚΑ,ΑΧΑΪΑ
25004,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΔΑΦΝΗ,ΑΧΑΪΑ
25003,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΔΙΑΚΟΠΤΟ,ΑΧΑΪΑ
25015,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΕΡΥΜΑΝΘΕΙΑ,ΑΧΑΪΑ
25001,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΚΑΛΑΒΡΥΤΑ,ΑΧΑΪΑ
25009,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΚΑΜΑΡΕΣ,ΑΧΑΪΑ
25200,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΚΑΤΩ ΑΧΑΪΑ,ΑΧΑΪΑ
25017,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΚΕΡΠΙΝΗ,ΑΧΑΪΑ
25011,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΚΕΡΤΕΖΗ,ΑΧΑΪΑ
25007,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΚΛΕΙΤΟΡΙΑ,ΑΧΑΪΑ
25012,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΛΙΒΑΡΤΖΙ,ΑΧΑΪΑ
25013,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΜΑΝΕΣΙ,ΑΧΑΪΑ
25018,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26221,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26222,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26223,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26224,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26225,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26226,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26234,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
26331,ΑΧΑΪΑΣ,ΕΛΛΑΣ,ΠΑΤΡΑ,ΑΧΑΪΑ
